移动线路 央卫1,#genre#
CCTV 5 体育,http://222.85.198.92:8000/hls/5/index.m3u8
CCTV 5+ 体育赛事,http://222.214.208.34:59901/tsfile/live/0016_1.m3u8
CCTV 6 电影,http://222.85.198.92:8000/hls/6/index.m3u8
CCTV 7 国防军事,http://222.85.198.92:8000/hls/7/index.m3u8
CCTV 8 电视剧,http://222.85.198.92:8000/hls/8/index.m3u8
CCTV 9 纪录,http://live2.rxip.sc96655.com/live/CCTV-9H265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV 10 科教,http://222.85.198.92:8000/hls/9/index.m3u8
CCTV 11 戏曲,http://222.85.198.92:8000/hls/10/index.m3u8
CCTV 12 社会与法,http://222.85.198.92:8000/hls/11/index.m3u8
CCTV 13 新闻,http://222.85.198.92:8000/hls/12/index.m3u8
CCTV 14 少儿,http://222.85.198.92:8000/hls/13/index.m3u8
CCTV 15 音乐,http://222.85.198.92:8000/hls/14/index.m3u8
CCTV 16 奥林匹克,http://live2.rxip.sc96655.com/live/CCTV-16_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV 17 农村农业,http://222.85.198.92:8000/hls/15/index.m3u8
